Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12/ug,Data.Vitamins.Vitamin B6/mg,Data.Vitamins.Vitamin C/mg,Data.Vitamins.Vitamin E/mg,Data.Vitamins.Vitamin K/ug,images
Croissants,45.8,67,2.6,406,8.2,11.26,23.2,21,37,2.03,744,744,0.16,0.06,0.2,0.84,1.8,Croissants.jpg
Doughnuts,45.63,9,1.6,418,5.87,16.28,22.88,23.55,25,3,557,11,0.07,0.03,1.3,1.89,10.4,Doughnuts.jpg
Muffins,41.4,39,2.7,296,6.9,0,37.7,11.4,200,2.39,467,140,0.15,0.04,0.3,0,0,Muffins.jpg
Waffles,42.98,14,2.2,285,6.47,4.91,37.95,9.7,308,5.61,638,1271,2.93,0.9,0,1.05,7.8,Waffles.jpg
Potato Chips,52.8,0,4.4,491,7.7,0,1.9,32.4,50,1.94,750,217,0,0.62,33.9,0,0,Potato Chips.jpg
Rice,76.17,0,3.4,362,7.5,0,12.37,2.68,33,1.8,4,0,0,0.51,0,0.68,0,Rice.jpg
Wheat,68.03,0,12.2,329,15.4,0.41,12.76,1.92,25,3.6,2,9,0,0.34,0,1.01,1.9,Wheat.jpg
Pasta,79.26,0,11,357,7.46,0,10,2.08,4,0.93,3,170,0,0.21,0,0,0,Pasta.jpg
Macaroni,74.67,0,3.2,371,13.04,2.67,9.9,1.51,21,3.3,6,0,0,0.14,0,0.11,0.1,Macaroni.jpg
Noodles,71.27,84,3.3,384,14.16,1.88,9.01,4.44,35,4.01,21,62,0.29,0.22,0,0.37,0.5,Noodles.jpg
Spaghetti,74.67,0,3.2,371,13.04,2.67,9.9,1.51,21,3.3,6,0,0,0.14,0,0.11,0.1,Spaghetti.jpg
Petai,16.9,0,2.2,124,10,3.4,69,1.8,126,3.4,11,25,-1,-1,33,-1,-1,Petai.jpg
Pomelo,9.1,-1,0.4,41.11,0.8,9.9,89,0.2,4,0.3,3,33,-1,-1,23,-1,-1,Pomelo.jpg
